id,brand,model,date,year,display_size_inches,display_size_inches_scale,internal_memory_in_gb,internal_memory_in_gb_scale,primary_camera_mega_pixel,primary_camera_mega_pixel_scale,primary_camera,loud_speaker,gps,colors,approx_price_eur,approx_price_eur_scale,announced,battery_mah,battery_mah_scale,ram_in_gb,ram_in_gb_scale
Lava X10,Lava,X10,2015-11-01,2015.0,5.0,-0.035183533822671566,16.0,-0.03393246666373137,13.0,0.7965152410185075,13 MP| autofocus| dual-LED flash,Yes,Yes with A-GPS,Black| White,150.0,-0.19026143745216656,2015  November,2900.0,0.43740333520347835,3.0,1.312120821171917
Lava Iris Atom 2X,Lava,Iris Atom 2X,2015-11-01,2015.0,4.5,-0.4279395221412164,8.0,-0.38904700533904973,5.0,-0.9202902712774985,5 MP| LED flash,Yes,Yes with A-GPS,Black| White,,,2015  November,2000.0,-0.5203832802293027,1.0,-0.5262752219775801
Lava Iris Atom X,Lava,Iris Atom X,2015-11-01,2015.0,4.0,-0.8206955104597612,0.4980544747081712,-0.7220532458867218,2.0,-1.5640923383885008,2 MP| LED flash,Yes,Yes with A-GPS,Black| White,,,2015  November,1400.0,-1.1589076905178233,0.2490272373540856,-1.2165678996582279
Lava Fuel F1,Lava,Fuel F1,2015-10-01,2015.0,5.0,-0.035183533822671566,8.0,-0.38904700533904973,8.0,-0.2764882041664963,8 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black| White,,,2015  September,4000.0,1.6080314207324329,2.0,0.3929227995971684
Lava Iris Fuel F1 Mini,Lava,Iris Fuel F1 Mini,2015-09-01,2015.0,4.0,-0.8206955104597612,8.0,-0.38904700533904973,5.0,-0.9202902712774985,5 MP| LED flash,Yes,No,Black| White,,,2015  September,2000.0,-0.5203832802293027,0.4980544747081712,-0.9876625557641271
Lava Flair E2,Lava,Flair E2,2015-09-01,2015.0,3.5,-1.213451498778306,0.4980544747081712,-0.7220532458867218,2.0,-1.5640923383885008,2 MP| LED flash,Yes,No,Black| White,,,2015  September,1400.0,-1.1589076905178233,0.2490272373540856,-1.2165678996582279
Lava Pixel V2,Lava,Pixel V2,2015-09-01,2015.0,5.0,-0.035183533822671566,16.0,-0.03393246666373137,13.0,0.7965152410185075,13 MP| autofocus| dual-LED flash,Yes,Yes with A-GPS,Icy White| Royal Black,120.0,-0.2615540102834267,2015  September,2500.0,0.01172039501113123,2.0,0.3929227995971684
Lava Iris Atom 2,Lava,Iris Atom 2,2015-08-01,2015.0,4.5,-0.4279395221412164,8.0,-0.38904700533904973,5.0,-0.9202902712774985,5 MP| LED flash,Yes,Yes with A-GPS,Black| White,,,2015  August,1750.0,-0.7864351178495196,0.4980544747081712,-0.9876625557641271
Lava Flair Z1,Lava,Flair Z1,2015-07-01,2015.0,5.0,-0.035183533822671566,8.0,-0.38904700533904973,5.0,-0.9202902712774985,5 MP| LED flash,Yes,No,Black| White,,,2015  July,2000.0,-0.5203832802293027,1.0,-0.5262752219775801
Lava Pixel V1,Lava,Pixel V1,2015-07-01,2015.0,5.5,0.35757245449587327,32.0,0.6762966106869053,8.0,-0.2764882041664963,8 MP| autofocus| LED flash (13 MP via SW interpolation),Yes,Yes with A-GPS,White| Gold,160.0,-0.16649724650841316,2015  July,2560.0,0.0755728360399833,2.0,0.3929227995971684
Lava Flair P1i,Lava,Flair P1i,2015-06-01,2015.0,4.0,-0.8206955104597612,0.4980544747081712,-0.7220532458867218,2.0,-1.5640923383885008,2 MP| LED flash,Yes,Yes with A-GPS,Black| White,,,2015  June,1400.0,-1.1589076905178233,0.2490272373540856,-1.2165678996582279
Lava Iris X1 Atom S,Lava,Iris X1 Atom S,2015-06-01,2015.0,4.0,-0.8206955104597612,8.0,-0.38904700533904973,5.0,-0.9202902712774985,5 MP| LED flash,Yes,Yes with A-GPS,Black| White,,,2015  June,1400.0,-1.1589076905178233,0.4980544747081712,-0.9876625557641271
Lava Icon,Lava,Icon,2015-04-01,2015.0,5.0,-0.035183533822671566,16.0,-0.03393246666373137,13.0,0.7965152410185075,13 MP| autofocus| dual-LED flash,Yes,Yes with A-GPS,Black,,,2015  April,2500.0,0.01172039501113123,2.0,0.3929227995971684
Lava Iris X1 Grand,Lava,Iris X1 Grand,2015-01-01,2015.0,5.0,-0.035183533822671566,8.0,-0.38904700533904973,8.0,-0.2764882041664963,8 MP| autofocus| dual-LED flash,Yes dual speakers,A-GPS,Black-gold| White-silver| White-gold,110.0,-0.28531820122718005,2015  January,2200.0,-0.3075418101331291,1.0,-0.5262752219775801
Lava Iris X1 mini,Lava,Iris X1 mini,2015-01-01,2015.0,4.0,-0.8206955104597612,4.0,-0.5666042746767089,5.0,-0.9202902712774985,5 MP| LED flash,Yes,A-GPS,Ink Black|white-silver| Black-gold,,,2015  January,1750.0,-0.7864351178495196,0.4980544747081712,-0.9876625557641271
Lava Iris Alfa,Lava,Iris Alfa,2015-01-01,2015.0,5.0,-0.035183533822671566,8.0,-0.38904700533904973,5.0,-0.9202902712774985,5 MP| autofocus| LED flash,Yes,A-GPS,Black| White,,,2015  January,2200.0,-0.3075418101331291,1.0,-0.5262752219775801
Lava Iris X8,Lava,Iris X8,2015-02-01,2015.0,5.0,-0.035183533822671566,8.0,-0.38904700533904973,8.0,-0.2764882041664963,8 MP| dual-LED flash,Yes,Yes with A-GPS,Black| White,130.0,-0.2377898193396733,2015  February,2500.0,0.01172039501113123,1.0,-0.5262752219775801
Lava Iris 470,Lava,Iris 470,2015-01-01,2015.0,4.5,-0.4279395221412164,4.0,-0.5666042746767089,5.0,-0.9202902712774985,5 MP| autofocus| LED flash,Yes,A-GPS,Black,,,2015  January,1650.0,-0.8928558528976064,0.4980544747081712,-0.9876625557641271
Lava Iris 465,Lava,Iris 465,2015-02-01,2015.0,4.5,-0.4279395221412164,4.0,-0.5666042746767089,15.0,1.225716619092509,3.15 MP| LED flash,Yes,Yes with A-GPS,Black| White,,,2015  February,1750.0,-0.7864351178495196,0.4980544747081712,-0.9876625557641271
Lava Iris 401,Lava,Iris 401,2015-01-01,2015.0,4.0,-0.8206955104597612,0.4980544747081712,-0.7220532458867218,15.0,1.225716619092509,3.15 MP| LED flash,Yes,A-GPS,Black| Blue| Red,,,2015  January,1450.0,-1.1056973229937799,0.2490272373540856,-1.2165678996582279
Lava Iris 350,Lava,Iris 350,2015-01-01,2015.0,3.5,-1.213451498778306,0.4980544747081712,-0.7220532458867218,2.0,-1.5640923383885008,2 MP| LED flash,Yes,Yes with A-GPS,Black| White,,,2015  January,1400.0,-1.1589076905178233,0.2490272373540856,-1.2165678996582279
Lava Iris 348,Lava,Iris 348,2015-02-01,2015.0,3.5,-1.213451498778306,0.4980544747081712,-0.7220532458867218,2.0,-1.5640923383885008,2 MP,Yes,No,Black| White,,,2015  February,1100.0,-1.4781698956620837,0.2490272373540856,-1.2165678996582279
Lava Iris 325 Style,Lava,Iris 325 Style,2015-02-01,2015.0,3.5,-1.213451498778306,0.4980544747081712,-0.7220532458867218,2.0,-1.5640923383885008,2 MP| LED flash,Yes,No,Black| White,,,2015  February,1400.0,-1.1589076905178233,0.2490272373540856,-1.2165678996582279
Lava Iris Fuel 60,Lava,Iris Fuel 60,2014-12-01,2014.0,5.0,0.04131104829218819,8.0,-0.23375313240519174,10.0,0.4803312654629388,10 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black| White,130.0,-0.21667015914315985,2014  December,4000.0,1.3812866759132048,1.0,-0.21347151189090316
Lava Iris Win1,Lava,Iris Win1,2014-12-01,2014.0,4.0,-0.647744958615067,8.0,-0.23375313240519174,5.0,-0.7502203675918675,5 MP| autofocus| LED flash,Yes,A-GPS,Black,70.0,-0.36459113735560383,2014  December,1950.0,-0.2961963952352106,1.0,-0.21347151189090316
Lava Iris 250,Lava,Iris 250,2014-08-01,2014.0,4.0,-0.647744958615067,4.0,-0.5190876908062221,15.0,1.710882898517745,3.15 MP| dual-LED flash,Yes,Yes with A-GPS,Black| White| Purple,,,2014  August,1450.0,-0.7053386077104338,0.4980544747081712,-0.6842955717047648
Lava Iris 400s,Lava,Iris 400s,2014-08-01,2014.0,4.0,-0.647744958615067,4.0,-0.5190876908062221,5.0,-0.7502203675918675,5 MP| LED flash,Yes,Yes,Black| Silver,,,2014  August,1400.0,-0.7462528289579562,0.4980544747081712,-0.6842955717047648
Lava Iris 352 Flair,Lava,Iris 352 Flair,2014-08-01,2014.0,3.5,-0.9922729620686945,2.0,-0.6617549700067373,2.0,-1.4885513474247511,2 MP,Yes,No,Champagne Gold| Rose Gold,,,2014  August,1200.0,-0.9099097139480454,0.2490272373540856,-0.9178827021550527
Lava Iris 404 Flair,Lava,Iris 404 Flair,2014-08-01,2014.0,4.0,-0.647744958615067,4.0,-0.5190876908062221,5.0,-0.7502203675918675,5 MP| LED flash,Yes,A-GPS,Champagne Gold| Silver| Blue ,,,2014  August,1400.0,-0.7462528289579562,0.4980544747081712,-0.6842955717047648
Lava Iris 400Q,Lava,Iris 400Q,2014-08-01,2014.0,4.0,-0.647744958615067,4.0,-0.5190876908062221,5.0,-0.7502203675918675,5 MP| LED flash,Yes,A-GPS,Black| White,,,2014  August,1700.0,-0.5007675014728222,0.4980544747081712,-0.6842955717047648
Lava Iris 410,Lava,Iris 410,2014-09-01,2014.0,4.0,-0.647744958615067,4.0,-0.5190876908062221,15.0,1.710882898517745,3.15 MP,Yes,A-GPS,Black,,,2014  September,1500.0,-0.6644243864629115,0.4980544747081712,-0.6842955717047648
Lava Iris Fuel 50,Lava,Iris Fuel 50,2014-10-01,2014.0,5.0,0.04131104829218819,8.0,-0.23375313240519174,8.0,-0.011889387758983688,8 MP| autofocus| dual-LED flash,Yes,Yes with A-GPS,Black,100.0,-0.29063064824938184,2014  October,3000.0,0.5630022509627582,1.0,-0.21347151189090316
Lava Iris 310 Style,Lava,Iris 310 Style,2014-08-01,2014.0,3.5,-0.9922729620686945,2.0,-0.6617549700067373,2.0,-1.4885513474247511,2 MP| LED flash,Yes,No,Brown| Black| White| Blue,,,2014  August,1400.0,-0.7462528289579562,0.2490272373540856,-0.9178827021550527
Lava Iris 360 Music,Lava,Iris 360 Music,2014-08-01,2014.0,3.5,-0.9922729620686945,4.0,-0.5190876908062221,15.0,1.710882898517745,3.15 MP| LED flash,Yes,Yes with A-GPS,White| Black| Grey,,,2014  August,1400.0,-0.7462528289579562,0.4980544747081712,-0.6842955717047648
Lava Iris 460,Lava,Iris 460,2014-08-01,2014.0,4.5,-0.30321695516143937,8.0,-0.23375313240519174,5.0,-0.7502203675918675,5 MP| LED flash,Yes,Yes with A-GPS,Black| Grey,,,2014  August,1650.0,-0.5416817227203445,1.0,-0.21347151189090316
Lava Iris X5,Lava,Iris X5,2014-09-01,2014.0,5.0,0.04131104829218819,8.0,-0.23375313240519174,8.0,-0.011889387758983688,8 MP| autofocus| LED flash,Yes,Yes with A-GPS GLONASS,Black| White| Grey,110.0,-0.2659771518806412,2014  September,2100.0,-0.1734537314926436,1.0,-0.21347151189090316
Lava Iris Pro 30+,Lava,Iris Pro 30+,2014-08-01,2014.0,4.7,-0.16540575377998823,16.0,0.336915984396869,13.0,1.2186622452958227,13 MP| autofocus| dual-LED flash,Yes,Yes with A-GPS,Grey/Black,150.0,-0.1673631664056785,2014  August,2000.0,-0.25528217398768827,1.0,-0.21347151189090316
Lava Iris 402e,Lava,Iris 402e,2014-06-01,2014.0,4.0,-0.647744958615067,0.4980544747081712,-0.7688942108071242,15.0,1.710882898517745,3.15 MP| LED flash,Yes,No,Pink| Blue| Gray,,,2014  June,1450.0,-0.7053386077104338,0.4980544747081712,-0.6842955717047648
Lava Iris 350m,Lava,Iris 350m,2014-06-01,2014.0,3.5,-0.9922729620686945,0.4980544747081712,-0.7688942108071242,2.0,-1.4885513474247511,2 MP,Yes,No,Grey| Midnight Black,,,2014  June,1200.0,-0.9099097139480454,0.4980544747081712,-0.6842955717047648
Lava 3G 412,Lava,3G 412,2014-06-01,2014.0,4.0,-0.647744958615067,0.4980544747081712,-0.7688942108071242,2.0,-1.4885513474247511,2 MP| LED flash,Yes,Yes with A-GPS,Dark grey,,,2014  June,1500.0,-0.6644243864629115,0.4980544747081712,-0.6842955717047648
Lava Iris X1,Lava,Iris X1,2014-05-01,2014.0,4.5,-0.30321695516143937,8.0,-0.23375313240519174,8.0,-0.011889387758983688,8 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black| White,100.0,-0.29063064824938184,2014  May,2100.0,-0.1734537314926436,1.0,-0.21347151189090316
Lava 3G 415,Lava,3G 415,2014-05-01,2014.0,4.0,-0.647744958615067,4.0,-0.5190876908062221,5.0,-0.7502203675918675,5 MP| LED flash,Yes,Yes with A-GPS,Black| Grey,,,2014  May,1500.0,-0.6644243864629115,0.4980544747081712,-0.6842955717047648
Lava 3G 354,Lava,3G 354,2014-05-01,2014.0,3.5,-0.9922729620686945,2.0,-0.6617549700067373,2.0,-1.4885513474247511,2 MP,Yes,Yes with A-GPS,Dark Blue & White,,,2014  May,1400.0,-0.7462528289579562,0.2490272373540856,-0.9178827021550527
Lava Iris 504q+,Lava,Iris 504q+,2014-04-01,2014.0,5.0,0.04131104829218819,8.0,-0.23375313240519174,10.0,0.4803312654629388,10 MP| autofocus| LED flash,Yes,Yes with A-GPS,Grey| White,,,2014  April,2000.0,-0.25528217398768827,1.0,-0.21347151189090316
Lava Iris 356,Lava,Iris 356,2014-04-01,2014.0,3.5,-0.9922729620686945,0.4980544747081712,-0.7688942108071242,3.0,-1.24244102081379,1.3 MP,Yes,Yes with A-GPS,Crystal White| Black| Grey,,,2014  April,1500.0,-0.6644243864629115,0.2490272373540856,-0.9178827021550527
