id,brand,model,date,year,display_size_inches,internal_memory_in_gb,primary_camera_mega_pixel,primary_camera,loud_speaker,gps,colors,approx_price_eur,announced,battery_mah,ram_in_gb
BLU Magic,BLU,Magic,2011-04-01,2011.0,3.2,0.4980544747081712,15.0,3.15 MP,Yes,Yes with A-GPS,Black| White,110.0,2011  February. Released 2011  April,1450.0,0.2490272373540856
BLU Touch,BLU,Touch,2011-06-01,2011.0,3.2,0.4980544747081712,15.0,3.15 MP,Yes,No,Black| White| Pink| Silver| Orange| Green,,2011  February. Released 2011  Q2,1000.0,0.2490272373540856
BLU Diesel 3G,BLU,Diesel 3G,2011-06-01,2011.0,1.8,0.0622568093385214,,VGA,Yes,No,Black,50.0,2011  February,1000.0,
BLU Deejay II,BLU,Deejay II,2011-04-01,2011.0,1.8,0.0622568093385214,,VGA,Yes,No,Red| Silver| Green| Yellow| Blue| Pink| Purple,40.0,2011  February,800.0,0.0311284046692607
BLU Samba Q,BLU,Samba Q,2011-04-01,2011.0,1.8,0.0622568093385214,,VGA,Yes,No,Red| Silver| Green| Yellow| Blue| Pink| Purple,50.0,2011  February. Released 2011  April,800.0,0.0311284046692607
BLU Ultra,BLU,Ultra,2011-06-01,2011.0,1.31,0.01556420233463035,,,Yes,No,Black| Yellow| Blue| Red,,2011  February. Released 2011  Q2,500.0,
BLU Tango,BLU,Tango,2010-12-01,2010.0,2.8,0.4980544747081712,15.0,3.15 MP,Yes,Yes with A-GPS,Black| White| Red,100.0,2010  September. Released 2010  Q4,1200.0,0.2490272373540856
BLU Speed,BLU,Speed,2010-10-01,2010.0,2.44,0.2490272373540856,2.0,2 MP,Yes,No,Black| Silver| Red,100.0,2010  October. Released 2010  October,930.0,0.1245136186770428
BLU Smart,BLU,Smart,2010-10-01,2010.0,3.0,0.05058365758754864,2.0,2 MP,Yes,No,Black,,2010  September. Released 2010  October,800.0,
BLU Cubo,BLU,Cubo,2010-12-01,2010.0,2.4,0.048638132295719845,2.0,2 MP,Yes,No,Black| Grey| White,70.0,2010  September. Released 2010  Q4,800.0,
BLU Flash,BLU,Flash,2010-09-01,2010.0,2.0,0.06809338521400778,,VGA,Yes,No,Black,40.0,2010  September. Released 2010  September,800.0,
BLU Samba Mini,BLU,Samba Mini,2010-12-01,2010.0,2.0,0.0311284046692607,2.0,2 MP,Yes,No,Red| Purple| Blue| Green| Yellow| Pink| Silver,50.0,2010  September. Released 2010  Q4,700.0,
BLU Samba,BLU,Samba,2010-06-01,2010.0,1.8,0.01556420233463035,,CIF,Yes,No,Silver| Red| Yellow| Blue| Green| Purple| Pink,30.0,2010  June. Released 2010  June,750.0,
BLU Tattoo,BLU,Tattoo,2010-06-01,2010.0,2.0,0.01556420233463035,,CIF,Yes,No,Black| White| Blue| Pink| Yellow| Green,,2010  June. Released 2010  June,750.0,
BLU Tattoo TV,BLU,Tattoo TV,2010-06-01,2010.0,2.0,0.01556420233463035,,CIF,Yes,No,Black| White| Blue| Pink| Yellow| Green,,2010  June. Released 2010  June,750.0,
BLU Disco2GO II,BLU,Disco2GO II,2010-12-01,2010.0,2.0,0.0311284046692607,,VGA,Yes,No,Red| Green| Grey| Yellow,60.0,2010  September. Released 2010  Q4,850.0,
BLU Deejay,BLU,Deejay,2010-09-01,2010.0,1.77,,,,Yes,No,Grey| Green| Purple| Pink| Blue,40.0,2010  September. Released 2010  September,800.0,
BLU Click,BLU,Click,2010-09-01,2010.0,1.77,,,CIF,Yes,No,Grey| Green| Purple| Pink| Blue,,2010  September. Released 2010  September,800.0,
BLU Brilliant,BLU,Brilliant,2010-12-01,2010.0,2.2,0.0311284046692607,2.0,2 MP| 1600 x 1200 pixels (T410); VGA| 640x480 pixels (T400),Yes,No,Black| White,,2010  September. Released 2010  Q4,800.0,
BLU Slim TV,BLU,Slim TV,2010-09-01,2010.0,2.2,0.0311284046692607,2.0,2 MP| LED flash,Yes,No,Black| Red| Blue,,2010  September. Released 2010  September,800.0,
BLU TV2Go Lite,BLU,TV2Go Lite,2010-09-01,2010.0,2.0,0.0311284046692607,,CIF,Yes,No,Black| White| Pink| Red| Green| Blue,,2010  September. Released 2010  September,750.0,
BLU TV2Go,BLU,TV2Go,2009-08-01,2009.0,2.0,0.0311284046692607,,VGA,Yes,No,Black| White| Pink| Red| Green| Blue,,2009  August. Released 2009  August,750.0,
BLU Texting 2 GO,BLU,Texting 2 GO,2010-12-01,2010.0,2.0,0.0311284046692607,,VGA| LED flash,Yes,No,Black| White| Red,,2010  September. Released 2010  Q4,850.0,
BLU EZ2Go,BLU,EZ2Go,2010-06-01,2010.0,2.0,0.01556420233463035,,VGA,Yes,No,Black| Gray| Silver,,2010  June. Released 2010  June,750.0,
BLU Kick,BLU,Kick,2010-06-01,2010.0,1.8,0.01556420233463035,,CIF,Yes,No,Silver| Red| Yellow| Blue| Green| Purple| Pink,,2010  June. Released 2010  June,750.0,
BLU Vida1,BLU,Vida1,2010-06-01,2010.0,1.8,0.01556420233463035,,CIF,Yes,No,Black| Silver| Red| Grey,,2010  June. Released 2010  June,750.0,
BLU Gol,BLU,Gol,2010-06-01,2010.0,1.8,0.01556420233463035,,CIF,Yes,No,Black| Blue| Red| Silver,,2010  June. Released 2010  June,750.0,
BLU Dual SIM Lite,BLU,Dual SIM Lite,2010-01-01,2010.0,1.77,,,,Yes,No,Grey| Green| Purple| Pink| Blue,,2010  January. Released 2010  January,800.0,
Bosch 909 Dual S,Bosch,909 Dual S,,,,,,,No,No,3,,1999,,
Bosch 909 Dual,Bosch,909 Dual,,,,,,,No,No,3,,1999,650.0,
Bosch Com 908,Bosch,Com 908,,,,,,,No,No,3,,1998,650.0,
Bosch Com 509,Bosch,Com 509,,,,,,,No,No,Several| half transparent,,1999,,
Bosch World 718,Bosch,World 718,,,,,,,No,No,,,1996,650.0,
Bosch Com 738,Bosch,Com 738,,,,,,,No,No,,,1996,650.0,
Bosch Com 906,Bosch,Com 906,,,,,,,No,No,,,1996,500.0,
Bosch Com 608,Bosch,Com 608,,,,,,,No,No,,,1999,550.0,
Bosch Com 607,Bosch,Com 607,,,,,,,No,No,,,1997,550.0,
Bosch Com 207,Bosch,Com 207,,,,,,,No,No,,,1997,600.0,
