id,brand,model,date,year,display_size_inches,internal_memory_in_gb,primary_camera_mega_pixel,primary_camera,loud_speaker,gps,colors,approx_price_eur,battery_mah,ram_in_gb,weight,weight_g,weight_oz
TECNO Phantom 9,TECNO,Phantom 9,2019-07-01,2019.0,6.39,128.0,16.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS",Lapland Aurora,,3500.0,6.0,164.4 g (5.78 oz),164.4,5.78
Tel.Me. T918,Tel.Me.,T918,2003-01-01,2003.0,,0.005836575875486381,,,No,No,V1,,720.0,,125 g (4.41 oz),125.0,4.41
Tel.Me. T919i,Tel.Me.,T919i,2003-01-01,2003.0,,0.005836575875486381,,,Yes,No,V1,,1000.0,,134 g (4.73 oz),134.0,4.73
Tel.Me. T919,Tel.Me.,T919,2003-01-01,2003.0,,,,,Yes,No,V1,,900.0,,115 g (4.06 oz),115.0,4.06
Tel.Me. T909c,Tel.Me.,T909c,,,,,,,No,No,V1,,600.0,,80 g (2.82 oz),80.0,2.82
Telit C1000,Telit,C1000,2005-01-01,2005.0,,0.0048638132295719845,,LED flash,No,No,V1,,,,74.5 g (2.61 oz),74.5,2.61
Telit T91,Telit,T91,2004-09-01,2004.0,,0.01556420233463035,,,No,No,V1,,720.0,,85 g (3.00 oz),85.0,3.0
Telit T90,Telit,T90,2004-09-01,2004.0,,0.01556420233463035,,,No,No,V1,,720.0,,85 g (3.00 oz),85.0,3.0
Telit NEO,Telit,NEO,2004-06-01,2004.0,,0.0038910505836575876,,,No,No,V1,,,,65 g (2.29 oz),65.0,2.29
Telit G83,Telit,G83,2003-12-01,2003.0,,,,,No,No,V1,,780.0,,90 g (3.17 oz),90.0,3.17
Telit G80,Telit,G80,2002-11-01,2002.0,,,,,No,No,V1,,600.0,,96 g (3.39 oz),96.0,3.39
Telit G82,Telit,G82,2002-01-01,2002.0,,,,,No,No,V1,,550.0,,90 g (3.17 oz),90.0,3.17
Telit G40,Telit,G40,2003-06-01,2003.0,,,,,No,No,V1,,610.0,,75 g (2.65 oz),75.0,2.65
Telit GM 882,Telit,GM 882,2002-01-01,2002.0,,,,,No,No,V1,,550.0,,100 g (3.53 oz),100.0,3.53
Telit GM 810,Telit,GM 810,1999-01-01,1999.0,,,,,No,No,4,,650.0,,105 g (3.70 oz),105.0,3.7
Telit Estremo,Telit,Estremo,1999-01-01,1999.0,,,,,No,No,3,,1000.0,,176 g (6.21 oz),176.0,6.21
Telit GM 710,Telit,GM 710,1999-01-01,1999.0,,,,,No,No,4,,650.0,,105 g (3.70 oz),105.0,3.7
